"cc_iso3c","cc_name_long","cc_name_short","un_m49","unicode_flag","cc_status","cc_ascii","cc_grep"
"GMB","Gambia","Gambia",270,"🇬🇲","UN member","Gambia","gambia"
"GNB","Guinea-Bissau","Guinea-Bissau",624,"🇬🇼","UN member","Guinea-Bissau","guineabissau"
"GNQ","Equatorial Guinea","Equatorial Guinea",226,"🇬🇶","UN member","Equatorial Guinea","equatorial guinea"
"GRC","Greece","Greece",300,"🇬🇷","UN member","Greece","greece"
"GRD","Grenada","Grenada",308,"🇬🇩","UN member","Grenada","grenada"
"GRL","Greenland","Greenland",304,"🇬🇱","Other ISO 3166-1 assigned or reserved entity","Greenland","greenland"
"GTM","Guatemala","Guatemala",320,"🇬🇹","UN member","Guatemala","guatemala"
"GUF","French Guiana","French Guiana",254,"🇬🇫","Other ISO 3166-1 assigned or reserved entity","French Guiana","french guiana"
"GUM","Guam","Guam",316,"🇬🇺","Other ISO 3166-1 assigned or reserved entity","Guam","guam"
"GUY","Guyana","Guyana",328,"🇬🇾","UN member","Guyana","guyana"
"HKG","Hong Kong SAR China","Hong Kong",344,"🇭🇰","Other ISO 3166-1 assigned or reserved entity","Hong Kong","hong kong"
"HMD","Heard and McDonald Islands","Heard & McDonald Islands",334,"🇭🇲","Other ISO 3166-1 assigned or reserved entity","Heard & McDonald Islands","heard mcdonald islands"
"HND","Honduras","Honduras",340,"🇭🇳","UN member","Honduras","honduras"
"HRV","Croatia","Croatia",191,"🇭🇷","UN member","Croatia","croatia"
"HTI","Haiti","Haiti",332,"🇭🇹","UN member","Haiti","haiti"
"HUN","Hungary","Hungary",348,"🇭🇺","UN member","Hungary","hungary"
"IDN","Indonesia","Indonesia",360,"🇮🇩","UN member","Indonesia","indonesia"
"IMN","Isle of Man","Isle of Man",833,"🇮🇲","Other ISO 3166-1 assigned or reserved entity","Isle of Man","isle of man"
"IND","India","India",356,"🇮🇳","UN member","India","india"
"IOT","British Indian Ocean Territory","British Indian Ocean Territory",86,"🇮🇴","Other ISO 3166-1 assigned or reserved entity","British Indian Ocean Territory","british indian ocean territory biot"
"IRL","Ireland","Ireland",372,"🇮🇪","UN member","Ireland","ireland"
"IRN","Iran (Islamic Republic of)","Iran",364,"🇮🇷","UN member","Iran","iran"
"IRQ","Iraq","Iraq",368,"🇮🇶","UN member","Iraq","iraq"
"ISL","Iceland","Iceland",352,"🇮🇸","UN member","Iceland","iceland"
"ISR","Israel","Israel",376,"🇮🇱","UN member","Israel","israel"
"ITA","Italy","Italy",380,"🇮🇹","UN member","Italy","italy"
"JAM","Jamaica","Jamaica",388,"🇯🇲","UN member","Jamaica","jamaica"
"JEY","Jersey","Jersey",832,"🇯🇪","Other ISO 3166-1 assigned or reserved entity","Jersey","jersey"
"JOR","Jordan","Jordan",400,"🇯🇴","UN member","Jordan","jordan"
"JPN","Japan","Japan",392,"🇯🇵","UN member","Japan","japan"
"KAZ","Kazakhstan","Kazakhstan",398,"🇰🇿","UN member","Kazakhstan","kazakhstan"
"KEN","Kenya","Kenya",404,"🇰🇪","UN member","Kenya","kenya"
"KGZ","Kyrgyzstan","Kyrgyzstan",417,"🇰🇬","UN member","Kyrgyzstan","kyrgyzstan"
"KHM","Cambodia","Cambodia",116,"🇰🇭","UN member","Cambodia","cambodia"
"KIR","Kiribati","Kiribati",296,"🇰🇮","UN member","Kiribati","kiribati"
"KNA","Saint Kitts and Nevis","St. Kitts & Nevis",659,"🇰🇳","UN member","St. Kitts & Nevis","st kitts nevis"
"KOR","Republic of Korea","South Korea",410,"🇰🇷","UN member","South Korea","south korea"
